Productcat,Date,Sales
ProdCat1,01-03-2014,
ProdCat1,04-03-2014,
ProdCat1,05-03-2014,
ProdCat1,06-03-2014,
ProdCat1,07-03-2014,
ProdCat1,08-03-2014,
ProdCat1,11-03-2014,
ProdCat1,12-03-2014,
ProdCat1,13-03-2014,
ProdCat1,14-03-2014,
ProdCat1,15-03-2014,
ProdCat1,18-03-2014,
ProdCat1,19-03-2014,
ProdCat1,20-03-2014,
ProdCat1,21-03-2014,
ProdCat1,22-03-2014,
ProdCat1,25-03-2014,
ProdCat1,26-03-2014,
ProdCat1,27-03-2014,
ProdCat1,28-03-2014,
ProdCat1,29-03-2014,
ProdCat2,01-03-2014,
ProdCat2,04-03-2014,
ProdCat2,05-03-2014,
ProdCat2,06-03-2014,
ProdCat2,07-03-2014,
ProdCat2,08-03-2014,
ProdCat2,11-03-2014,
ProdCat2,12-03-2014,
ProdCat2,13-03-2014,
ProdCat2,14-03-2014,
ProdCat2,15-03-2014,
ProdCat2,18-03-2014,
ProdCat2,19-03-2014,
ProdCat2,20-03-2014,
ProdCat2,21-03-2014,
ProdCat2,22-03-2014,
ProdCat2,25-03-2014,
ProdCat2,26-03-2014,
ProdCat2,27-03-2014,
ProdCat2,28-03-2014,
ProdCat2,29-03-2014,
ProdCat3,01-03-2014,
ProdCat3,04-03-2014,
ProdCat3,05-03-2014,
ProdCat3,06-03-2014,
ProdCat3,07-03-2014,
ProdCat3,08-03-2014,
ProdCat3,11-03-2014,
ProdCat3,12-03-2014,
ProdCat3,13-03-2014,
ProdCat3,14-03-2014,
ProdCat3,15-03-2014,
ProdCat3,18-03-2014,
ProdCat3,19-03-2014,
ProdCat3,20-03-2014,
ProdCat3,21-03-2014,
ProdCat3,22-03-2014,
ProdCat3,25-03-2014,
ProdCat3,26-03-2014,
ProdCat3,27-03-2014,
ProdCat3,28-03-2014,
ProdCat3,29-03-2014,
ProdCat4,01-03-2014,
ProdCat4,04-03-2014,
ProdCat4,05-03-2014,
ProdCat4,06-03-2014,
ProdCat4,07-03-2014,
ProdCat4,08-03-2014,
ProdCat4,11-03-2014,
ProdCat4,12-03-2014,
ProdCat4,13-03-2014,
ProdCat4,14-03-2014,
ProdCat4,15-03-2014,
ProdCat4,18-03-2014,
ProdCat4,19-03-2014,
ProdCat4,20-03-2014,
ProdCat4,21-03-2014,
ProdCat4,22-03-2014,
ProdCat4,25-03-2014,
ProdCat4,26-03-2014,
ProdCat4,27-03-2014,
ProdCat4,28-03-2014,
ProdCat4,29-03-2014,
ProdCat5,01-03-2014,
ProdCat5,04-03-2014,
ProdCat5,05-03-2014,
ProdCat5,06-03-2014,
ProdCat5,07-03-2014,
ProdCat5,08-03-2014,
ProdCat5,11-03-2014,
ProdCat5,12-03-2014,
ProdCat5,13-03-2014,
ProdCat5,14-03-2014,
ProdCat5,15-03-2014,
