Productcat,Date,Sales
ProdCat1,13-06-2013,802
ProdCat1,14-06-2013,671
ProdCat1,15-06-2013,866
ProdCat1,18-06-2013,602
ProdCat1,19-06-2013,343
ProdCat1,20-06-2013,377
ProdCat1,21-06-2013,636
ProdCat1,22-06-2013,1082
ProdCat1,25-06-2013,888
ProdCat1,26-06-2013,486
ProdCat1,27-06-2013,930
ProdCat1,28-06-2013,1008
ProdCat1,29-06-2013,2106
ProdCat1,02-07-2013,644
ProdCat1,03-07-2013,547
ProdCat1,04-07-2013,920
ProdCat1,05-07-2013,689
ProdCat1,06-07-2013,664
ProdCat1,09-07-2013,724
ProdCat1,10-07-2013,300
ProdCat1,11-07-2013,439
ProdCat1,12-07-2013,1238
ProdCat1,13-07-2013,831
ProdCat1,16-07-2013,950
ProdCat1,17-07-2013,937
ProdCat1,18-07-2013,590
ProdCat1,19-07-2013,668
ProdCat1,20-07-2013,543
ProdCat1,23-07-2013,589
ProdCat1,24-07-2013,614
ProdCat1,25-07-2013,629
ProdCat1,26-07-2013,698
ProdCat1,27-07-2013,638
ProdCat1,30-07-2013,608
ProdCat1,31-07-2013,740
ProdCat1,01-08-2013,618
ProdCat1,02-08-2013,632
ProdCat1,03-08-2013,649
ProdCat1,06-08-2013,784
ProdCat1,07-08-2013,846
ProdCat1,08-08-2013,585
ProdCat1,09-08-2013,580
ProdCat1,10-08-2013,432
ProdCat1,13-08-2013,780
ProdCat1,14-08-2013,633
ProdCat1,15-08-2013,610
ProdCat1,16-08-2013,477
ProdCat1,17-08-2013,568
ProdCat1,20-08-2013,809
ProdCat1,21-08-2013,692
ProdCat1,22-08-2013,681
ProdCat1,23-08-2013,705
ProdCat1,24-08-2013,1427
ProdCat1,27-08-2013,568
ProdCat1,28-08-2013,608
ProdCat1,29-08-2013,716
ProdCat1,30-08-2013,703
ProdCat1,31-08-2013,897
ProdCat1,03-09-2013,471
ProdCat1,04-09-2013,567
ProdCat1,05-09-2013,566
ProdCat1,06-09-2013,540
ProdCat1,07-09-2013,519
ProdCat1,10-09-2013,532
ProdCat1,11-09-2013,611
ProdCat1,12-09-2013,1516
ProdCat1,13-09-2013,471
ProdCat1,14-09-2013,410
ProdCat1,17-09-2013,537
ProdCat1,18-09-2013,651
ProdCat1,19-09-2013,523
ProdCat1,20-09-2013,627
ProdCat1,21-09-2013,465
ProdCat1,24-09-2013,632
ProdCat1,25-09-2013,1702
ProdCat1,26-09-2013,780
ProdCat1,27-09-2013,746
ProdCat1,28-09-2013,1028
ProdCat1,01-10-2013,940
ProdCat1,02-10-2013,771
ProdCat1,03-10-2013,592
ProdCat1,04-10-2013,738
ProdCat1,05-10-2013,819
ProdCat1,08-10-2013,705
ProdCat1,09-10-2013,696
ProdCat1,10-10-2013,720
ProdCat1,11-10-2013,659
ProdCat1,12-10-2013,605
ProdCat1,15-10-2013,550
ProdCat1,16-10-2013,564
ProdCat1,17-10-2013,725
ProdCat1,18-10-2013,564
ProdCat1,19-10-2013,632
ProdCat1,22-10-2013,599
ProdCat1,23-10-2013,624
ProdCat1,24-10-2013,763
ProdCat1,25-10-2013,758
ProdCat1,26-10-2013,880
ProdCat1,29-10-2013,792
ProdCat1,30-10-2013,611
ProdCat1,31-10-2013,868
ProdCat1,01-11-2013,711
ProdCat1,02-11-2013,504
ProdCat1,05-11-2013,506
ProdCat1,06-11-2013,612
ProdCat1,07-11-2013,538
ProdCat1,08-11-2013,774
ProdCat1,09-11-2013,640
ProdCat1,12-11-2013,641
ProdCat1,13-11-2013,768
ProdCat1,14-11-2013,606
ProdCat1,15-11-2013,718
ProdCat1,16-11-2013,688
ProdCat1,19-11-2013,720
ProdCat1,20-11-2013,653
ProdCat1,21-11-2013,736
ProdCat1,23-11-2013,724
ProdCat1,26-11-2013,711
ProdCat1,27-11-2013,614
ProdCat1,28-11-2013,865
ProdCat1,29-11-2013,599
ProdCat1,30-11-2013,896
ProdCat1,03-12-2013,826
ProdCat1,04-12-2013,736
ProdCat1,05-12-2013,733
ProdCat1,06-12-2013,725
ProdCat1,07-12-2013,858
ProdCat1,10-12-2013,694
ProdCat1,11-12-2013,702
ProdCat1,12-12-2013,559
ProdCat1,13-12-2013,680
ProdCat1,14-12-2013,629
ProdCat1,17-12-2013,685
ProdCat1,18-12-2013,634
ProdCat1,19-12-2013,744
ProdCat1,20-12-2013,640
ProdCat1,21-12-2013,3043
ProdCat1,24-12-2013,339
ProdCat1,25-12-2013,833
ProdCat1,26-12-2013,576
ProdCat1,27-12-2013,672
ProdCat1,28-12-2013,593
ProdCat1,31-12-2013,901
